Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/200 entries/hmatrix,2.7275635711129385e-4,2.646137118714571e-4,2.9005028380198026e-4,3.594726266841482e-5,1.9847795290209252e-5,6.376843038205166e-5
DB query/200 entries/matrix,4.1747021578066544e-4,4.1260023933276856e-4,4.266775248375214e-4,2.0906392346241846e-5,1.1153264246481241e-5,3.580911820219933e-5
DB query/200 entries/laop,3.18634134443357e-4,3.1509737662776437e-4,3.2447973807430677e-4,1.5491741240744123e-5,1.0303757535554833e-5,2.2222976205055077e-5
