Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/100 entries/hmatrix,1.2942854593446957e-4,1.26879679009608e-4,1.3753076067333042e-4,1.3974057931923571e-5,3.8113992450024583e-6,2.8585516811032495e-5
DB query/100 entries/matrix,2.007267794899791e-4,1.9722967950264625e-4,2.0801250096260003e-4,1.649965009628066e-5,6.429973277974716e-6,2.8882454069161684e-5
DB query/100 entries/laop,1.5991070458556725e-4,1.5696242146392072e-4,1.6740634537232887e-4,1.4724136950101197e-5,6.0846545276281125e-6,2.8022306013161903e-5
