Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/500 entries/hmatrix,7.137508835922177e-4,7.013694698285275e-4,7.3310733245365e-4,5.328282047987972e-5,3.779423886633948e-5,7.482130317757604e-5
DB query/500 entries/matrix,1.156351304778801e-3,1.139326257517148e-3,1.189402419464481e-3,7.841708229074268e-5,4.533042497250752e-5,1.170081841906725e-4
DB query/500 entries/laop,8.232292752384323e-4,8.124022814538239e-4,8.664925785454405e-4,5.7724981643878575e-5,2.116640051099654e-5,1.3026654612610037e-4
