Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/50 entries/hmatrix,6.638324124325323e-5,6.547666957214952e-5,6.847429134102289e-5,4.299740114574529e-6,2.674288245883649e-6,7.434560715907838e-6
DB query/50 entries/matrix,9.995367116876772e-5,9.863808633528132e-5,1.0210288111272172e-4,5.236524334199532e-6,3.692101916179687e-6,7.908761058370475e-6
DB query/50 entries/laop,7.739408419954374e-5,7.61733970198516e-5,7.951678687619726e-5,5.077008580076453e-6,3.1099861477458944e-6,7.631434607590646e-6
