Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/75 entries/hmatrix,1.0264469229499106e-4,1.0089538376940123e-4,1.0562076761195758e-4,7.397188652662982e-6,4.871281318526752e-6,1.0973428193113509e-5
DB query/75 entries/matrix,1.534027326496152e-4,1.5173133194786113e-4,1.57262880531983e-4,7.536841433379487e-6,3.8154983797456536e-6,1.3651993171264167e-5
DB query/75 entries/laop,1.2576240988244352e-4,1.2381431811147304e-4,1.2827952291953409e-4,7.228198052115907e-6,5.552257151695099e-6,1.0579574399499263e-5
