Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/10 entries/hmatrix,1.992891217761265e-5,1.9603954585072384e-5,2.0670128198857468e-5,1.654708516498532e-6,9.169558740523206e-7,3.0083951773154936e-6
DB query/10 entries/matrix,2.5526642811694928e-5,2.5142980670752274e-5,2.6048526586171774e-5,1.555324789546046e-6,1.0224139314961722e-6,2.055061125777558e-6
DB query/10 entries/laop,1.523342993828843e-5,1.5073370002938522e-5,1.5459744181889308e-5,6.373408503973398e-7,4.672034586848859e-7,8.369974129567031e-7
