Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/1000 entries/hmatrix,1.9206338895995504e-3,1.883368542577316e-3,1.983677248024923e-3,1.693849864591093e-4,1.0552735544146205e-4,2.881467041222307e-4
DB query/1000 entries/matrix,2.864092383179011e-3,2.817714810530588e-3,2.9587507858661252e-3,2.0693603368187886e-4,1.2777604989164875e-4,3.3081992695284325e-4
DB query/1000 entries/laop,1.9107399393201324e-3,1.8809674487333095e-3,1.9575596597207713e-3,1.3511474665393912e-4,8.382254629497811e-5,2.2272373191441203e-4
