Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/2000 entries/hmatrix,5.616388866180534e-3,5.554807867791512e-3,5.703773487952682e-3,2.3183266157803385e-4,1.5795364574753727e-4,3.172473636373155e-4
DB query/2000 entries/matrix,8.444723153417285e-3,8.258709900864228e-3,8.79814544534682e-3,7.654475454090868e-4,4.614933955555133e-4,1.1006601201455463e-3
DB query/2000 entries/laop,4.771885163296261e-3,4.7019418974328e-3,4.869005568661064e-3,2.5545131764477774e-4,1.8773617866992684e-4,3.287393811359908e-4
