Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/10000 entries/hmatrix,5.6364069297045495e-2,5.415794208193417e-2,5.785463351179032e-2,3.296719582798096e-3,1.976388471625482e-3,5.183462683177982e-3
DB query/10000 entries/matrix,8.874791896386067e-2,8.735776493089188e-2,9.010867676188469e-2,2.3094899018862814e-3,1.5073419767371063e-3,3.28581733932303e-3
DB query/10000 entries/laop,4.5979566322769436e-2,4.479471745737158e-2,4.827383230352133e-2,3.1036796670599323e-3,1.6327765272604294e-3,5.123744743675026e-3
