Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DB query/25 entries/hmatrix,3.6642926759465806e-5,3.610198736412866e-5,3.801767178596631e-5,2.5239971542508335e-6,1.4005813116030649e-6,4.540672577824923e-6
DB query/25 entries/matrix,5.288654424212679e-5,5.225452201704924e-5,5.380663394983964e-5,2.4821138524059136e-6,1.7991736111186627e-6,3.2459234450143178e-6
DB query/25 entries/laop,3.803981843240307e-5,3.771643348312899e-5,3.8605026631523715e-5,1.4220675865311588e-6,1.116177521570506e-6,2.1179681217533576e-6
